,Non_Res_Travel,Country,Year,Non-resident travellers (thousands)
522,ARRIVALS_OVERNIGHT,AT,2014.0,16.3
523,ARRIVALS_OVERNIGHT,AT,2015.0,15.5
524,ARRIVALS_OVERNIGHT,AT,2016.0,0.0
525,ARRIVALS_OVERNIGHT,AT,2017.0,30.8
526,ARRIVALS_OVERNIGHT,AT,2018.0,44.2
527,ARRIVALS_OVERNIGHT,AT,2019.0,0.0
528,ARRIVALS_OVERNIGHT,AT,2020.0,0.0
529,ARRIVALS_OVERNIGHT,AT,2021.0,0.0
530,ARRIVALS_OVERNIGHT,BY,2012.0,22.5
531,ARRIVALS_OVERNIGHT,BY,2013.0,29.6
532,ARRIVALS_OVERNIGHT,BY,2014.0,0.0
533,ARRIVALS_OVERNIGHT,BY,2015.0,0.0
534,ARRIVALS_OVERNIGHT,BY,2016.0,55.7
535,ARRIVALS_OVERNIGHT,BY,2017.0,47.2
536,ARRIVALS_OVERNIGHT,BY,2018.0,67.0
537,ARRIVALS_OVERNIGHT,BY,2019.0,22.6
538,ARRIVALS_OVERNIGHT,BY,2020.0,5.7
539,ARRIVALS_OVERNIGHT,BY,2021.0,9.4
540,ARRIVALS_OVERNIGHT,BE,2012.0,21.6
541,ARRIVALS_OVERNIGHT,BE,2013.0,27.7
542,ARRIVALS_OVERNIGHT,BE,2014.0,26.2
543,ARRIVALS_OVERNIGHT,BE,2015.0,39.2
544,ARRIVALS_OVERNIGHT,BE,2016.0,25.7
545,ARRIVALS_OVERNIGHT,BE,2017.0,39.6
546,ARRIVALS_OVERNIGHT,BE,2018.0,18.6
547,ARRIVALS_OVERNIGHT,BE,2019.0,19.2
548,ARRIVALS_OVERNIGHT,BE,2020.0,0.0
549,ARRIVALS_OVERNIGHT,BE,2021.0,0.0
550,ARRIVALS_OVERNIGHT,BG,2012.0,0.0
551,ARRIVALS_OVERNIGHT,BG,2013.0,0.0
552,ARRIVALS_OVERNIGHT,BG,2014.0,0.0
553,ARRIVALS_OVERNIGHT,BG,2015.0,0.0
554,ARRIVALS_OVERNIGHT,BG,2016.0,0.0
555,ARRIVALS_OVERNIGHT,BG,2017.0,0.0
556,ARRIVALS_OVERNIGHT,BG,2018.0,0.0
557,ARRIVALS_OVERNIGHT,BG,2019.0,0.0
558,ARRIVALS_OVERNIGHT,BG,2020.0,0.0
559,ARRIVALS_OVERNIGHT,BG,2021.0,0.0
560,ARRIVALS_OVERNIGHT,CZ,2012.0,10.6
561,ARRIVALS_OVERNIGHT,CZ,2013.0,13.2
562,ARRIVALS_OVERNIGHT,CZ,2014.0,16.4
563,ARRIVALS_OVERNIGHT,CZ,2015.0,21.6
564,ARRIVALS_OVERNIGHT,CZ,2016.0,16.5
565,ARRIVALS_OVERNIGHT,CZ,2017.0,11.6
566,ARRIVALS_OVERNIGHT,CZ,2018.0,0.0
567,ARRIVALS_OVERNIGHT,CZ,2019.0,21.5
568,ARRIVALS_OVERNIGHT,CZ,2020.0,0.0
569,ARRIVALS_OVERNIGHT,CZ,2021.0,0.0
570,ARRIVALS_OVERNIGHT,DK,2012.0,24.6
571,ARRIVALS_OVERNIGHT,DK,2013.0,27.7
